id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
199,11,1-0 1-2 1-3 1-4 1-5 1-6 1-7 0-8 8-9 8-10,0,U,7,8,7 8 7 7 7 7 7 7 8 7 7,7 8 8 8 8 8 8 8 8 8 8,61
200,11,1-0 1-2 1-3 1-4 1-5 1-6 1-7 0-8 0-10 8-9,0,U,5,8,5 6 5 5 5 5 5 5 6 6 6,8 7 7 7 7 7 7 7 7 6 7,259
201,11,1-0 1-2 1-3 1-4 1-5 1-6 0-7 7-8 7-9 7-10,0,U,7,8,7 8 7 7 7 7 7 8 7 7 7,7 8 8 8 8 8 8 8 8 8 8,58
202,11,1-0 1-2 1-3 1-4 1-5 1-6 0-7 0-10 7-8 7-9,0,U,5,7,5 6 5 5 5 5 5 6 5 5 6,7 7 7 7 7 7 7 7 7 7 6,258
203,11,1-0 1-2 1-3 1-4 1-5 1-6 0-7 0-9 7-8 9-10,0,U,5,7,5 6 5 5 5 5 5 6 6 6 6,6 7 7 7 7 7 7 7 7 7 7,258
204,11,1-0 1-2 1-3 1-4 1-5 1-6 0-7 0-9 0-10 7-8,0,U,3,8,3 4 3 3 3 3 3 4 4 4 4,8 7 7 7 7 7 7 7 6 7 7,591
205,11,1-0 1-2 1-3 1-4 1-5 0-6 6-7 6-8 6-9 6-10,0,U,7,8,7 8 7 7 7 7 8 7 7 7 7,7 8 8 8 8 8 8 8 8 8 8,57
206,11,1-0 1-2 1-3 1-4 1-5 0-6 0-10 6-7 6-8 6-9,0,U,5,7,5 6 5 5 5 5 6 5 5 5 6,7 7 7 7 7 7 7 7 7 7 6,259
207,11,1-0 1-2 1-3 1-4 1-5 0-6 0-9 6-7 6-8 9-10,0,U,5,7,5 6 5 5 5 5 6 5 5 6 6,6 7 7 7 7 7 7 7 7 7 6,258
208,11,1-0 1-2 1-3 1-4 1-5 0-6 0-9 0-10 6-7 6-8,0,U,3,7,3 4 3 3 3 3 4 3 3 4 4,7 7 7 7 7 7 7 7 7 7 7,607
209,11,1-0 1-2 1-3 1-4 1-5 0-6 0-8 0-10 6-7 8-9,0,U,3,7,3 4 3 3 3 3 4 4 4 4 4,6 7 7 7 7 7 7 7 7 7 7,610
210,11,1-0 1-2 1-3 1-4 1-5 0-6 0-8 0-9 0-10 6-7,61,S,1,8,1 2 1 1 1 1 2 2 2 2 2,8 7 7 7 7 7 7 6 7 7 7,888
